user_name,date,text
Hawa Yaakub 🇲🇾,2023-02-20 12:32:41+00:00,"RT @Dominiclauhc: Semalam saya telah dijemput ke Perhimpunan Tahun Baru Cina di Ng Ah Choo Multipurpose Hall, New Era University College, K…"
Dr. Dominic Lau 刘华才 🇲🇾,2023-02-20 08:22:07+00:00,"Semalam saya telah dijemput ke Perhimpunan Tahun Baru Cina di Ng Ah Choo Multipurpose Hall, New Era University Coll… https://t.co/7GHfsyns1I"
Kulotissima,2023-02-18 03:53:16+00:00,@ANCALERTS Sana may nagboo man lang o tawagin yan na sinungaling. taena naman New Era University.
Mac,2023-02-18 02:38:09+00:00,"RT @ANCALERTS: Chinese Amb. Huang Xilian, guest of honor at New Era University for formal launching of China Studies Center, says he is dee…"
Micheal Soriano,2023-02-17 14:02:45+00:00,"RT @ANCALERTS: Chinese Amb. Huang Xilian, guest of honor at New Era University for formal launching of China Studies Center, says he is dee…"
15circles/theuniverse,2023-02-17 13:57:25+00:00,"RT @ANCALERTS: Chinese Amb. Huang Xilian, guest of honor at New Era University for formal launching of China Studies Center, says he is dee…"
Mark Steven Balili,2023-02-17 11:22:57+00:00,"RT @ANCALERTS: Chinese Amb. Huang Xilian, guest of honor at New Era University for formal launching of China Studies Center, says he is dee…"
Skarro,2023-02-17 11:08:22+00:00,"@willardcheng So, New Era University really did give him a a platform to appeal China’s position, ha. Direct to the… https://t.co/QydBClKcHh"
"NewsFreedom,🇺🇦🇨🇳🇸🇾🇮🇷",2023-02-17 08:23:31+00:00,"RT @ANCALERTS: Chinese Amb. Huang Xilian, guest of honor at New Era University for formal launching of China Studies Center, says he is dee…"
ABS-CBN News Channel,2023-02-17 08:21:54+00:00,"Chinese Amb. Huang Xilian, guest of honor at New Era University for formal launching of China Studies Center, says… https://t.co/voziuJ41dw"
Jaz Veilor,2023-02-17 07:28:27+00:00,"RT @willardcheng: Chinese Amb. Huang Xilian guest of honor at New Era University for formal launching of China Studies Center, says he is d…"
ABS-CBN News,2023-02-17 07:22:08+00:00,"RT @willardcheng: Chinese Amb. Huang Xilian guest of honor at New Era University for formal launching of China Studies Center, says he is d…"
Willard Cheng,2023-02-17 07:18:04+00:00,"Chinese Amb. Huang Xilian guest of honor at New Era University for formal launching of China Studies Center, says h… https://t.co/OO8I5eLtMj"
Benjamin Alejandro,2023-02-17 07:08:57+00:00,“Third party derailing the good relations bet the Philippines and China.”  - Amb Huang Xilian at the formal launchi… https://t.co/f7aKHrt1VJ
News5,2023-02-17 06:38:20+00:00,RT @DaveAbuel_: Happening now: Launching of China Studies Center at the New Era University. Attedees to the event include Ambassador of Chi…
CNN Philippines,2023-02-17 06:28:43+00:00,RT @TristanNodalo: Int’l security expert and chairman of the New Era University Chinese Studies Center Rommel Banlaoi delivers the speech o…
Alexander,2023-02-17 06:26:12+00:00,RT @TristanNodalo: THREAD: Chinese Ambassador Huang Xilian now here at the formal launch of China Studies Center at the New Era University…
CNN Philippines,2023-02-17 06:23:59+00:00,RT @TristanNodalo: THREAD: Chinese Ambassador Huang Xilian now here at the formal launch of China Studies Center at the New Era University…
Tristan Nodalo,2023-02-17 06:19:07+00:00,Int’l security expert and chairman of the New Era University Chinese Studies Center Rommel Banlaoi delivers the spe… https://t.co/AVoFEySR3V
Dave Abuel,2023-02-17 06:14:24+00:00,Happening now: Launching of China Studies Center at the New Era University. Attedees to the event include Ambassado… https://t.co/guJ9k0BhsH
Tristan Nodalo,2023-02-17 06:13:16+00:00,THREAD: Chinese Ambassador Huang Xilian now here at the formal launch of China Studies Center at the New Era Univer… https://t.co/CcQrbmJaiW
@jcAlcantara🇮🇹,2023-02-16 10:42:51+00:00,"@NET25TV A. Mandarin, shout out sa New Era University waiting lang ako s Mandarin Class😊😎"
,2022-07-12 18:45:24+00:00,Standards and needs are met #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:44:58+00:00,The NEUVLE is organized but sometimes NEUVLE are having trouble when there is an exam. #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:44:42+00:00,"Quite good, only lacking on some aspects but not much of a big deal..#NewEraUniversityOnlineService #LearningPlatform"
,2022-07-12 18:44:19+00:00,"Some of our modules could not be found in the VLE because the professor could not manage it properly, and there are… https://t.co/Qkp056MsUh"
,2022-07-12 18:44:04+00:00,"Hopefully, they can fix it, especially in finals week, because it is one of the problems for the students.
It was g… https://t.co/QZbiEw8x1f"
,2022-07-12 18:43:13+00:00,It was good #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:43:03+00:00,It's very accessible and organize. It really helps me to easily identify and manage my tasks and things to do.… https://t.co/BTxcz65ST5
,2022-07-12 18:42:50+00:00,Overall it's good and really helpful #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:42:40+00:00,Difficult to understand and the navigation of every page is hard to find #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:42:13+00:00,Lacks contact information of the professors and poor chat system  #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:41:57+00:00,"iyong 3 g naman, maganda pero bat may semicolon sa login page #NewEraUniversityOnlineService #LearningPlatform"
,2022-07-12 18:41:44+00:00,Overall good system except when being overloaded due to traffic. #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:41:31+00:00,Sometimes it keeps crashing #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:41:15+00:00,A very effective platform for online services #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:40:59+00:00,"NEUVLE is a great learning platform, it provides notifications for upcoming submission, and announcements could als… https://t.co/8wLJ0516GQ"
,2022-07-12 18:39:57+00:00,"Sometimes the maintenance is very annoying, especially when you have tasks to accomplish.. #NewEraUniversityOnlineService #LearningPlatform"
,2022-07-12 18:39:36+00:00,"But as of the moment, it already improves a lot and somehow functioning well compared before.… https://t.co/ENLCHVSVoJ"
,2022-07-12 18:38:54+00:00,useful. #NewEraUniversityOnlineService #LearningPlatform
,2022-07-12 18:37:36+00:00,Alright but sometimes really slow in handling transactions. #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:37:10+00:00,"One day, when my sister paid my tuition, she didn't receive any confirmation regarding our payment from NEU. So I t… https://t.co/mOW3qVhVOH"
,2022-07-12 18:36:55+00:00,Fair service. Nice and well done #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:36:41+00:00,Cashier online services are very slow to their services. I always wait 3 days to confirm my payments..… https://t.co/eLX9WUdfpE
,2022-07-12 18:36:28+00:00,I don't like the receipt that they are sending every time that I do payments. #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:29:45+00:00,Smooth transaction #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:29:34+00:00,I really don't have much of a complain #NewEraUniversityOnlineService #Cashier
